,Post_ID,Post_Profile,Post_Caption,Post_Date,Post_URL,Post_Likes,Post_Comments,Comment_ID,Comment_Username,Comment_Text,Comment_Time
0,2918296878120652069,yapghana,"Send money to your loved ones within a blink of an eye, with MONEYAP.

#YAP #YAPGhana #MONEYAP #Ghana #remittance #send #money #digitalbanking #finance #banking",2022-09-02 08:42:09,https://www.instagram.com/p/Ch_34yBg00l,712,7,18232644919122932,aarash687,,2022-09-02 18:42:25
1,2918296878120652069,yapghana,"Send money to your loved ones within a blink of an eye, with MONEYAP.

#YAP #YAPGhana #MONEYAP #Ghana #remittance #send #money #digitalbanking #finance #banking",2022-09-02 08:42:09,https://www.instagram.com/p/Ch_34yBg00l,712,7,18208769182160002,eric_d29,,2022-09-06 02:41:47
2,2918296878120652069,yapghana,"Send money to your loved ones within a blink of an eye, with MONEYAP.

#YAP #YAPGhana #MONEYAP #Ghana #remittance #send #money #digitalbanking #finance #banking",2022-09-02 08:42:09,https://www.instagram.com/p/Ch_34yBg00l,712,7,17970422632747607,eric_d29,,2022-09-06 02:42:18
3,2918296878120652069,yapghana,"Send money to your loved ones within a blink of an eye, with MONEYAP.

#YAP #YAPGhana #MONEYAP #Ghana #remittance #send #money #digitalbanking #finance #banking",2022-09-02 08:42:09,https://www.instagram.com/p/Ch_34yBg00l,712,7,17960846395935340,modern__households,Your app is not working,2022-09-06 23:00:47
4,2918296878120652069,yapghana,"Send money to your loved ones within a blink of an eye, with MONEYAP.

#YAP #YAPGhana #MONEYAP #Ghana #remittance #send #money #digitalbanking #finance #banking",2022-09-02 08:42:09,https://www.instagram.com/p/Ch_34yBg00l,712,7,17956729586054229,zaakiofficial_,Kindly check your DM,2022-09-10 13:00:01
5,2918288247375401424,yapghana,"Have your world at your fingertips.

#YAP #YAPGhana #Moneyap #digitalbanking #pay #money #ghana #finance #remittance",2022-09-02 08:25:12,https://www.instagram.com/p/Ch_17MBAhHQ,159,1,17933148440288681,eleventhspace,,2022-09-02 08:34:56
6,2900444394819925533,yapghana,"Pick from our variety of virtual cards, and shop anywhere, in style

#YAP #YAPGhana #virtualcards #shop #money #digitalbanking #effortlessbanking #money #ghana",2022-08-08 17:32:43,https://www.instagram.com/p/ChAcs9UA7Yd,235,1,17959363129814873,designpro_re,In which currency will the card be Can I opt for dollars or any other currency,2022-08-08 19:30:34
7,2899856332058267827,yapghana,"CTRL + ALT + DEL

Control your finances, Alternate your payments and delete stress.

#YAP #YAPGhana #Ghana #payments #finances #stressfree #banking #digitalbanking #effortlessbanking",2022-08-07 22:05:06,https://www.instagram.com/p/Cg-W_hMABCz,4308,7,17848522769815220,yapghana,Thank you for the comment anselem36 The app is not live in Ghana yet and will be available soon,2022-08-08 11:16:22
8,2899856332058267827,yapghana,"CTRL + ALT + DEL

Control your finances, Alternate your payments and delete stress.

#YAP #YAPGhana #Ghana #payments #finances #stressfree #banking #digitalbanking #effortlessbanking",2022-08-07 22:05:06,https://www.instagram.com/p/Cg-W_hMABCz,4308,7,17951463479039108,anselem36,The app doesnt open on iPhone,2022-08-08 10:49:28
9,2897293688634064180,yapghana,"Today we celebrate the pillars that helped build our nation. Happy founders day!

#Foundersday #YAP #YAPGhana",2022-08-04 09:13:41,https://www.instagram.com/p/Cg1QUJhA700,31,1,17954918014871614,eleventhspace,,2022-08-04 11:19:20
10,2872288512399548393,yapghana,"It just keeps getting better. Make transfers for free with Moneyap contacts

#MONEYAP #YAP #YAPGHANA #remittance #MONEYAP2MONEYAP #transfer #ghana #finance #fintech #money",2022-06-30 21:13:41,https://www.instagram.com/p/Cfcay8aAp_p,302,1,17928261179436024,naaa32421,I am Shiba who help people in such in a spiritual way about different problems People face a lot in life and I get a such of powers which came from Queen Shiba from the water any problem you have try to have a conversation with me on my WhatsApp 233500983633 for everything to be solved Nothing I have and I don t calm but if you try to put your hope and trust to me things will really change I help people like 1 To join our group 2 Instant money 3 Bet 4 Love matter 5 Sickness 6 Weekness on bed 7 Business 8 Exams pass 9 Birth 10 Job issue 11Cuort case And many more thank you for your attention contact on 233500983633 for things to be never the same,2022-07-23 11:48:07
11,2862615226128473406,yapghana,"An opportunity to obtain a variety of virtual cards awaits you.

#MONEYAP #YAP #YAPGHANA #DigitalBanking #virtualcard #ghana #finance #banking",2022-06-17 13:00:26,https://www.instagram.com/p/Ce6DWGiAx0-,40,1,18301962058016171,maxi.millian007,Looks exciting Cant wait to use it,2022-07-13 14:51:59
12,2840853951535022900,yapghana,"It's now an open secret; Dubai's first Independent Digital Banking App is coming to the motherland.

Anticipate...

#moneyap #yap #didyouknow #digitalbanking #comingsoon #launchingsoon #finance #money #financial #ghana",2022-05-18 12:21:23,https://www.instagram.com/p/CdsvZ4QAoM0,221,2,17934231707106195,halmgrace,,2022-06-17 02:14:51
13,2840853951535022900,yapghana,"It's now an open secret; Dubai's first Independent Digital Banking App is coming to the motherland.

Anticipate...

#moneyap #yap #didyouknow #digitalbanking #comingsoon #launchingsoon #finance #money #financial #ghana",2022-05-18 12:21:23,https://www.instagram.com/p/CdsvZ4QAoM0,221,2,18063917356313066,joshuagavu,,2022-06-18 21:39:20
