,post_id,post_time,username,post_text,post_url,likes,comments,commenter_name,comment_text,comment_time
0,1018908565644921,2022-03-08 12:47:49,YAP,"YAP wishes all women worldwide a very happy international women’s day 💐 We are proud to be a leading example of empowering women in fintech and embracing inclusivity and diversity every day!

#fintech #digitalbanking #finance #womensday #womensday2022 #financial",https://facebook.com/YAP/posts/1018908565644921,46,21,Adnan Khalid,Worst service they have to refund my balance its been 10 days they are providing me robotic answers,2022-08-29 00:00:00
1,1018908565644921,2022-03-08 12:47:49,YAP,"YAP wishes all women worldwide a very happy international women’s day 💐 We are proud to be a leading example of empowering women in fintech and embracing inclusivity and diversity every day!

#fintech #digitalbanking #finance #womensday #womensday2022 #financial",https://facebook.com/YAP/posts/1018908565644921,46,21,Hassan Khan,I really want to join but it seems you keep telling me my account is still on process why please because I ve provide all my information,2022-04-12 00:00:00
2,1018908565644921,2022-03-08 12:47:49,YAP,"YAP wishes all women worldwide a very happy international women’s day 💐 We are proud to be a leading example of empowering women in fintech and embracing inclusivity and diversity every day!

#fintech #digitalbanking #finance #womensday #womensday2022 #financial",https://facebook.com/YAP/posts/1018908565644921,46,21,Riaz Ahmad,I like Yap But why Take long time For active account like every time call help line every time same need 48 working hours,2022-06-12 00:00:00
3,1018908565644921,2022-03-08 12:47:49,YAP,"YAP wishes all women worldwide a very happy international women’s day 💐 We are proud to be a leading example of empowering women in fintech and embracing inclusivity and diversity every day!

#fintech #digitalbanking #finance #womensday #womensday2022 #financial",https://facebook.com/YAP/posts/1018908565644921,46,21,Sulfiker Bin Mohammed,what are the monthly account maintenance charge,2022-09-05 00:00:00
4,1018908565644921,2022-03-08 12:47:49,YAP,"YAP wishes all women worldwide a very happy international women’s day 💐 We are proud to be a leading example of empowering women in fintech and embracing inclusivity and diversity every day!

#fintech #digitalbanking #finance #womensday #womensday2022 #financial",https://facebook.com/YAP/posts/1018908565644921,46,21,Anwar Hayat,Don t open yap Account,2022-04-12 00:00:00
5,1018908565644921,2022-03-08 12:47:49,YAP,"YAP wishes all women worldwide a very happy international women’s day 💐 We are proud to be a leading example of empowering women in fintech and embracing inclusivity and diversity every day!

#fintech #digitalbanking #finance #womensday #womensday2022 #financial",https://facebook.com/YAP/posts/1018908565644921,46,21,Anwar Hayat,Anwar Hayat,2022-04-12 00:00:00
6,1018908565644921,2022-03-08 12:47:49,YAP,"YAP wishes all women worldwide a very happy international women’s day 💐 We are proud to be a leading example of empowering women in fintech and embracing inclusivity and diversity every day!

#fintech #digitalbanking #finance #womensday #womensday2022 #financial",https://facebook.com/YAP/posts/1018908565644921,46,21,Adnan Lucky,I m happy and satisfied of yap account fast services and specially Mr Syed Abbs for good hard working and you very responsible and respectfully to communicate of your client he solve my issued request no 40794 Adnan sharif,2022-03-12 00:00:00
7,993335378202240,2022-01-25 15:55:42,YAP,"Make spending look easy with YAP 🙌 Shop faster, easier and more conveniently using your YAP card and get instant notifications and spend analytics for every time you spend.

#fintech #digitalbanking #finance #financial #money #spending",https://facebook.com/YAP/posts/993335378202240,46,36,Sathyan Narmadha,I received my yap card two weeks ago but still not activated So many times I contact your customer service but they are telling always it will be activate shortly Your service is too bad,2022-02-12 00:00:00
8,993335378202240,2022-01-25 15:55:42,YAP,"Make spending look easy with YAP 🙌 Shop faster, easier and more conveniently using your YAP card and get instant notifications and spend analytics for every time you spend.

#fintech #digitalbanking #finance #financial #money #spending",https://facebook.com/YAP/posts/993335378202240,46,36,Gracey Bulanadi,i have balance in my account when i checked few hours ago its becomes negative no transaction no messge no xplaination,2022-08-12 00:00:00
9,993335378202240,2022-01-25 15:55:42,YAP,"Make spending look easy with YAP 🙌 Shop faster, easier and more conveniently using your YAP card and get instant notifications and spend analytics for every time you spend.

#fintech #digitalbanking #finance #financial #money #spending",https://facebook.com/YAP/posts/993335378202240,46,36,Haris Anees,Is Yap coming on google pay,2022-01-12 00:00:00
