,Datetime,Tweet Id,Text,Username
0,2022-08-03 18:30:12+00:00,1554897436656680961,YAP Digital Bank App Plans To Expand To Ghana With 41 Million Raise https t co 1KYwc3B7OD https t co WN8eCpjmAA,TechNovaGh
1,2022-07-24 09:28:53+00:00,1551137333466071043,AzamAKhan2 Don t worry we have a better one coming yap UAE s digital bank They got their approval The team behind is very solid They would have wiped out these other emi s eventually,saadsalmankhan1
2,2022-07-20 14:26:05+00:00,1549762575906361344,YAP Pakistan enters into a strategic partnership with Faysal Bank to introduce digital financial services through the Fintech Express program Read here for details https t co SCD4t062uQ yap YAPpakistan Faysalbankltd StateBank Pak Startups startupnews newsupdate,wetalkstartups
3,2022-07-19 18:30:13+00:00,1549461622934093825,YAP Digital Bank App Plans To Expand To Ghana With 41 Million Raise https t co 1KYwc3B7OD https t co idTj3mo9us,TechNovaGh
4,2022-07-14 05:56:00+00:00,1547459878947635200,China Bank Savings CBS Digital Business Banking Group head FVP Adonis C Yap said they have rolled out several initiatives to promote financial inclusion especially to the unbanked and underserved https t co oSrQ55hXa5,BusinessMirror
5,2022-07-13 06:40:00+00:00,1547108564061327360,China Bank Savings CBS Digital Business Banking Group head FVP Adonis C Yap said they have rolled out several initiatives to promote financial inclusion especially to the unbanked and underserved https t co oSrQ55hXa5,BusinessMirror
6,2022-07-12 09:28:02+00:00,1546788466385633286,YAP Digital Bank App Plans To Expand To Ghana With 41 Million Raise https t co 1KYwc3B7OD https t co dT35UQFQWq,TechNovaGh
7,2022-07-10 03:47:55+00:00,1545978094590107744,Fintech Funding UAE digital bank YAP raises 41M https t co 5VA9otUgYY https t co wZxIXdk5Vy,CamFinTechUru
8,2022-07-09 04:30:10+00:00,1545626338639417344,Fintech Funding UAE digital bank YAP raises 41M https t co 2uNj7zXxPR,media_diamante
9,2022-07-09 02:03:33+00:00,1545589444824014848,Fintech Funding UAE digital bank YAP raises 41M https t co cHf5yQZW6h https t co DcC0GNwRpC,Atul_AI
10,2022-07-08 21:38:09+00:00,1545522653707980801,Fintech Funding UAE digital bank YAP raises 41M https t co UumPNhT0Wd https t co sRZDjooYHt,AnilSha38998482
11,2022-07-08 20:40:05+00:00,1545508040207507456,Fintech Funding UAE digital bank YAP raises 41M YAP a United Arab Emirates based digital bank has raised 41 million in funding the company announced Monday The bank plans to complete its https t co ppubKUqQZn finpeform fintech,SuriyaSubraman
